values,participants,groups
1.0,p_325,s(E)
0.888888888888889,p_325,s(H)
1.0,p_325,s(S)
0.7777777777777778,p_328,s(E)
1.0,p_328,s(H)
1.0,p_328,s(S)
0.9444444444444445,p_329,s(E)
0.7777777777777778,p_329,s(H)
0.8333333333333334,p_329,s(S)
0.8333333333333334,p_330,s(E)
1.0,p_330,s(H)
1.0,p_330,s(S)
1.0,p_335,s(E)
1.0,p_335,s(H)
1.0,p_335,s(S)
0.888888888888889,p_336,s(E)
1.0,p_336,s(H)
1.0,p_336,s(S)
1.0,p_337,s(E)
1.0,p_337,s(H)
0.9444444444444445,p_337,s(S)
1.0,p_338,s(E)
1.0,p_338,s(H)
1.0,p_338,s(S)
0.8888888888888888,p_339,s(E)
0.7777777777777778,p_339,s(H)
1.0,p_339,s(S)
1.0,p_341,s(E)
1.0,p_341,s(H)
1.0,p_341,s(S)
1.0,p_342,s(E)
0.8333333333333334,p_342,s(H)
0.8333333333333334,p_342,s(S)
1.0,p_343,s(E)
0.8333333333333334,p_343,s(H)
0.9444444444444445,p_343,s(S)
1.0,p_347,s(E)
1.0,p_347,s(H)
1.0,p_347,s(S)
1.0,p_348,s(E)
1.0,p_348,s(H)
0.9444444444444445,p_348,s(S)
0.9444444444444445,p_349,s(E)
0.8333333333333334,p_349,s(H)
0.8888888888888888,p_349,s(S)
0.9444444444444445,p_350,s(E)
1.0,p_350,s(H)
0.9444444444444445,p_350,s(S)
1.0,p_351,s(E)
1.0,p_351,s(H)
1.0,p_351,s(S)
0.8333333333333334,p_358,s(E)
1.0,p_358,s(H)
0.9444444444444445,p_358,s(S)
1.0,p_359,s(E)
0.8333333333333334,p_359,s(H)
1.0,p_359,s(S)
0.9444444444444445,p_363,s(E)
1.0,p_363,s(H)
0.7777777777777778,p_363,s(S)
0.9444444444444445,p_369,s(E)
0.888888888888889,p_369,s(H)
0.888888888888889,p_369,s(S)
0.7777777777777778,p_370,s(E)
0.888888888888889,p_370,s(H)
0.8333333333333334,p_370,s(S)
1.0,p_371,s(E)
1.0,p_371,s(H)
1.0,p_371,s(S)
1.0,p_372,s(E)
0.888888888888889,p_372,s(H)
1.0,p_372,s(S)
0.7777777777777778,p_376,s(E)
0.8333333333333334,p_376,s(H)
0.8333333333333334,p_376,s(S)
0.8333333333333334,p_378,s(E)
1.0,p_378,s(H)
1.0,p_378,s(S)
0.9444444444444445,p_382,s(E)
1.0,p_382,s(H)
1.0,p_382,s(S)
1.0,p_385,s(E)
0.8333333333333334,p_385,s(H)
0.888888888888889,p_385,s(S)
0.888888888888889,p_387,s(E)
0.888888888888889,p_387,s(H)
0.7777777777777778,p_387,s(S)
