values,participants,groups
0.0,p_325,s(E)
0.0,p_325,s(H)
1.3333333333333333,p_325,s(S)
0.0,p_328,s(E)
6.333333333333333,p_328,s(H)
4.5,p_328,s(S)
0.0,p_329,s(E)
0.0,p_329,s(H)
0.0,p_329,s(S)
0.0,p_330,s(E)
0.0,p_330,s(H)
1.6666666666666667,p_330,s(S)
0.0,p_335,s(E)
11.166666666666666,p_335,s(H)
4.5,p_335,s(S)
0.0,p_336,s(E)
3.0,p_336,s(H)
0.0,p_336,s(S)
0.0,p_337,s(E)
5.333333333333333,p_337,s(H)
1.6666666666666667,p_337,s(S)
0.0,p_338,s(E)
3.3333333333333335,p_338,s(H)
0.0,p_338,s(S)
0.0,p_339,s(E)
0.0,p_339,s(H)
0.0,p_339,s(S)
0.8333333333333334,p_341,s(E)
49.666666666666664,p_341,s(H)
4.666666666666667,p_341,s(S)
0.0,p_342,s(E)
3.5,p_342,s(H)
7.666666666666667,p_342,s(S)
0.0,p_343,s(E)
54.333333333333336,p_343,s(H)
9.333333333333334,p_343,s(S)
0.0,p_347,s(E)
9.166666666666666,p_347,s(H)
2.1666666666666665,p_347,s(S)
0.0,p_348,s(E)
0.0,p_348,s(H)
4.666666666666667,p_348,s(S)
0.0,p_349,s(E)
12.666666666666666,p_349,s(H)
3.0,p_349,s(S)
0.0,p_350,s(E)
0.0,p_350,s(H)
0.0,p_350,s(S)
0.0,p_351,s(E)
40.333333333333336,p_351,s(H)
36.666666666666664,p_351,s(S)
0.0,p_358,s(E)
0.0,p_358,s(H)
0.5,p_358,s(S)
0.0,p_359,s(E)
70.33333333333333,p_359,s(H)
32.833333333333336,p_359,s(S)
0.0,p_363,s(E)
17.333333333333332,p_363,s(H)
0.0,p_363,s(S)
0.0,p_369,s(E)
50.666666666666664,p_369,s(H)
31.5,p_369,s(S)
0.0,p_370,s(E)
59.0,p_370,s(H)
61.666666666666664,p_370,s(S)
0.0,p_371,s(E)
0.3333333333333333,p_371,s(H)
0.0,p_371,s(S)
0.0,p_372,s(E)
14.166666666666666,p_372,s(H)
0.0,p_372,s(S)
0.0,p_376,s(E)
4.666666666666667,p_376,s(H)
4.333333333333333,p_376,s(S)
0.0,p_378,s(E)
9.5,p_378,s(H)
5.833333333333333,p_378,s(S)
0.0,p_382,s(E)
13.333333333333334,p_382,s(H)
22.5,p_382,s(S)
0.0,p_385,s(E)
3.6666666666666665,p_385,s(H)
2.1666666666666665,p_385,s(S)
0.0,p_387,s(E)
1.8333333333333333,p_387,s(H)
4.166666666666667,p_387,s(S)
