values,participants,groups
0.0,p_325,s(E)
3.0,p_325,s(H)
0.0,p_325,s(S)
0.0,p_328,s(E)
12.0,p_328,s(H)
10.0,p_328,s(S)
1.0,p_329,s(E)
8.0,p_329,s(H)
0.0,p_329,s(S)
0.0,p_330,s(E)
2.0,p_330,s(H)
0.0,p_330,s(S)
0.0,p_335,s(E)
16.0,p_335,s(H)
3.0,p_335,s(S)
0.0,p_336,s(E)
4.0,p_336,s(H)
0.0,p_336,s(S)
0.0,p_337,s(E)
16.0,p_337,s(H)
3.0,p_337,s(S)
0.0,p_338,s(E)
8.0,p_338,s(H)
3.0,p_338,s(S)
0.0,p_339,s(E)
5.0,p_339,s(H)
3.0,p_339,s(S)
0.0,p_341,s(E)
157.0,p_341,s(H)
8.0,p_341,s(S)
0.0,p_342,s(E)
11.0,p_342,s(H)
17.0,p_342,s(S)
0.0,p_343,s(E)
118.0,p_343,s(H)
22.0,p_343,s(S)
0.0,p_347,s(E)
14.0,p_347,s(H)
0.0,p_347,s(S)
0.0,p_348,s(E)
3.0,p_348,s(H)
9.0,p_348,s(S)
0.0,p_349,s(E)
35.0,p_349,s(H)
0.0,p_349,s(S)
0.0,p_350,s(E)
3.0,p_350,s(H)
0.0,p_350,s(S)
0.0,p_351,s(E)
63.0,p_351,s(H)
86.0,p_351,s(S)
0.0,p_358,s(E)
0.0,p_358,s(H)
0.0,p_358,s(S)
0.0,p_359,s(E)
32.0,p_359,s(H)
24.0,p_359,s(S)
0.0,p_363,s(E)
55.0,p_363,s(H)
0.0,p_363,s(S)
0.0,p_369,s(E)
94.0,p_369,s(H)
92.0,p_369,s(S)
0.0,p_370,s(E)
73.0,p_370,s(H)
95.0,p_370,s(S)
0.0,p_371,s(E)
2.0,p_371,s(H)
0.0,p_371,s(S)
0.0,p_372,s(E)
2.0,p_372,s(H)
0.0,p_372,s(S)
0.0,p_376,s(E)
12.0,p_376,s(H)
11.0,p_376,s(S)
0.0,p_378,s(E)
27.0,p_378,s(H)
16.0,p_378,s(S)
3.0,p_382,s(E)
7.0,p_382,s(H)
36.0,p_382,s(S)
0.0,p_385,s(E)
16.0,p_385,s(H)
4.0,p_385,s(S)
0.0,p_387,s(E)
1.0,p_387,s(H)
0.0,p_387,s(S)
0.0,p_397,s(E)
13.0,p_397,s(H)
25.0,p_397,s(S)
0.0,p_400,s(E)
0.0,p_400,s(H)
0.0,p_400,s(S)
0.0,p_404,s(E)
3.0,p_404,s(H)
0.0,p_404,s(S)
